# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: scall.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   0000b000   ---        --------
               6   N   0000b000   0000e101   0000b004   x10_a0     00000000
               7   N   0000b004   00004e01   0000b006   ---        --------
               8   N   0000b006   ffff5297   0000b008   x28_t3     00000000
               9   N   0000b008   7f828293   0000b00c   x05_t0     00000008
              10   N   0000b00c   30529073   0000b010   x05_t0     00000800
              11   N   0000b010   00004505   0000b014   ---        --------
              12   N   0000b014   0000057e   0000b016   x10_a0     00000001
              13   N   0000b016   00054863   0000b018   x10_a0     80000000
              14   N   0000b018   0ff0000f   0000b028   ---        --------
              17   N   0000b028   00028f63   0000b02c   x05_t0     00000000
              18   N   0000b02c   10529073   0000b04a   ---        --------
              22   N   0000b04a   00006509   0000b04e   ---        --------
              23   N   0000b04e   00006509   0000b04e   ---        --------
              24   N   0000b04e   80050513   0000b050   x10_a0     00002000
              25   N   0000b050   30052073   0000b054   x10_a0     00001800
              26   N   0000b054   00000297   0000b058   ---        --------
              27   N   0000b058   00000297   0000b058   ---        --------
              28   N   0000b058   03028293   0000b05c   x05_t0     0000b058
              29   N   0000b05c   34129073   0000b060   x05_t0     0000b088
              30   N   0000b060   f1402573   0000b064   ---        --------
              31   N   0000b064   30200073   0000b068   x10_a0     00000000
              33   N   0000b068   00000000   0000b088   ---        --------
              36   N   0000b088   00004321   0000b08a   x28_t3     00000002
              37   N   0000b08a   00006289   0000b08c   x06_t1     00000008
              38   N   0000b08c   80028293   0000b08e   x05_t0     00002000
              39   N   0000b08e   6289b073   0000b092   x05_t0     00001800
              41   N   0000b092   800223f3   0000b096   ---        --------
              42   N   0000b096   300023f3   0000b096   ---        --------
              43   N   0000b096   3002f2b3   0000b09a   x07_t2     00001880
              45   N   0000b09a   30008363   0000b09e   x05_t0     00001800
              47   N   0000b09e   0000432d   0000b0a2   ---        --------
              48   N   0000b0a2   00006289   0000b0a4   x06_t1     0000000b
              49   N   0000b0a4   80028293   0000b0a6   x05_t0     00002000
              50   N   0000b0a6   6289b073   0000b0aa   x05_t0     00001800
              52   N   0000b0aa   80020297   0000b0ae   ---        --------
              53   N   0000b0ae   00000297   0000b0ae   ---        --------
              54   N   0000b0ae   30028293   0000b0b2   x05_t0     0000b0ae
              56   N   0000b0b2   00009073   0000b0b6   x05_t0     0000b0be
              58   N   0000b0b6   01020073   0000b0ba   ---        --------
              61   N   0000b0ba   00004e05   0000b0be   ---        --------
              64   N   0000b0be   00000073   0000b0c0   x28_t3     00000001
              65   E   0000b0c0   0000a019   00000800   mstatus    00001880
              65   E   0000b0c0   0000a019   00000800   mepc       0000b0c0
              65   E   0000b0c0   0000a019   00000800   mcause     0000000b
              65   E   0000b0c0   0000a019   00000800   mtval      00000000
              68   N   00000800   000047a1   00000804   x14_a4     0000000b
              69   N   00000804   04f70263   00000806   x15_a5     00000008
              70   N   00000806   000047a5   0000080a   ---        --------
              71   N   0000080a   02f70f63   0000080c   x15_a5     00000009
              72   N   0000080c   000047ad   00000810   ---        --------
              73   N   00000810   02f70c63   00000812   x15_a5     0000000b
              74   N   00000812   47ad0837   0000084a   ---        --------
              78   N   0000084a   08370013   0000b120   ---        --------
              81   N   0000b120   fd428293   0000b124   x05_t0     00000120
              82   N   0000b124   00008282   0000b128   x05_t0     000000f4
              83   N   0000b128   00000013   000000f4   ---        --------
              86   N   000000f4   0000006f   000000f8   ---        --------
              87   N   000000f8   ffffffff   000000f8   ---        --------
