# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: srl.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000200   ---        --------
               6   N   00000200   0000e101   00000204   x10_a0     00000000
               7   N   00000204   00004e01   00000206   ---        --------
               8   N   00000206   00000297   00000208   x28_t3     00000000
               9   N   00000208   fb828293   0000020c   x05_t0     00000208
              10   N   0000020c   30529073   00000210   x05_t0     000001c0
              11   N   00000210   00004505   00000214   ---        --------
              12   N   00000214   0000057e   00000216   x10_a0     00000001
              13   N   00000216   00054863   00000218   x10_a0     80000000
              14   N   00000218   0ff0000f   00000228   ---        --------
              17   N   00000228   00028d63   0000022c   x05_t0     00000000
              18   N   0000022c   10529073   00000246   ---        --------
              22   N   00000246   00020297   0000024a   ---        --------
              23   N   0000024a   00000297   0000024a   ---        --------
              24   N   0000024a   30008293   0000024e   x05_t0     0000024a
              26   N   0000024e   00009073   00000252   x05_t0     000002a0
              28   N   00000252   05622573   00000256   ---        --------
              30   N   00000256   34120073   0000025a   x10_a0     00000000
              33   N   0000025a   00000000   000002a0   ---        --------
              36   N   000002a0   00004101   000002a4   x01_ra     80000000
              37   N   000002a4   0020d1b3   000002a6   x02_sp     00000000
              38   N   000002a6   41010eb7   000002aa   x03_gp     80000000
              40   N   000002aa   00004e09   000002ae   x29_t4     80000000
              41   N   000002ae   45d19763   000002b0   x28_t3     00000002
              42   N   000002b0   800000b7   000002b4   ---        --------
              43   N   000002b4   00004105   000002b8   x01_ra     80000000
              44   N   000002b8   0020d1b3   000002ba   x02_sp     00000001
              45   N   000002ba   41050eb7   000002be   x03_gp     40000000
              47   N   000002be   00004e0d   000002c2   x29_t4     40000000
              48   N   000002c2   43d19d63   000002c4   x28_t3     00000003
              49   N   000002c4   800000b7   000002c8   ---        --------
              50   N   000002c8   0000411d   000002cc   x01_ra     80000000
              51   N   000002cc   0020d1b3   000002ce   x02_sp     00000007
              52   N   000002ce   411d0eb7   000002d2   x03_gp     01000000
              54   N   000002d2   00004e11   000002d6   x29_t4     01000000
              55   N   000002d6   43d19363   000002d8   x28_t3     00000004
              56   N   000002d8   800000b7   000002dc   ---        --------
              57   N   000002dc   00004139   000002e0   x01_ra     80000000
              58   N   000002e0   0020d1b3   000002e2   x02_sp     0000000e
              59   N   000002e2   41390eb7   000002e6   x03_gp     00020000
              61   N   000002e6   00004e15   000002ea   x29_t4     00020000
              62   N   000002ea   41d19963   000002ec   x28_t3     00000005
              63   N   000002ec   800000b7   000002f0   ---        --------
              64   N   000002f0   00000085   000002f4   x01_ra     80000000
              65   N   000002f4   0000417d   000002f6   x01_ra     80000001
              66   N   000002f6   0020d1b3   000002f8   x02_sp     0000001f
              67   N   000002f8   00004e85   000002fc   x03_gp     00000001
              68   N   000002fc   00004e19   000002fe   x29_t4     00000001
              69   N   000002fe   3fd19f63   00000300   x28_t3     00000006
              70   N   00000300   fff00093   00000304   ---        --------
              71   N   00000304   00004101   00000308   x01_ra     ffffffff
              72   N   00000308   0020d1b3   0000030a   x02_sp     00000000
              73   N   0000030a   41010e93   0000030e   x03_gp     ffffffff
              75   N   0000030e   00004e1d   00000312   x29_t4     ffffffff
              76   N   00000312   3fd19563   00000314   x28_t3     00000007
              77   N   00000314   fff00093   00000318   ---        --------
              78   N   00000318   00004105   0000031c   x01_ra     ffffffff
              79   N   0000031c   0020d1b3   0000031e   x02_sp     00000001
              80   N   0000031e   41050eb7   00000322   x03_gp     7fffffff
              82   N   00000322   00001efd   00000326   x29_t4     80000000
              83   N   00000326   00004e21   00000328   x29_t4     7fffffff
              84   N   00000328   3dd19a63   0000032a   x28_t3     00000008
              85   N   0000032a   4e210093   0000032e   ---        --------
              87   N   0000032e   0000411d   00000332   x01_ra     ffffffff
              88   N   00000332   0020d1b3   00000334   x02_sp     00000007
              89   N   00000334   02000eb7   00000338   x03_gp     01ffffff
              90   N   00000338   00001efd   0000033c   x29_t4     02000000
              91   N   0000033c   00004e25   0000033e   x29_t4     01ffffff
              92   N   0000033e   3bd19f63   00000340   x28_t3     00000009
              93   N   00000340   fff00093   00000344   ---        --------
              94   N   00000344   00004139   00000348   x01_ra     ffffffff
              95   N   00000348   0020d1b3   0000034a   x02_sp     0000000e
              96   N   0000034a   41390eb7   0000034e   x03_gp     0003ffff
              98   N   0000034e   00001efd   00000352   x29_t4     00040000
              99   N   00000352   00004e29   00000354   x29_t4     0003ffff
             100   N   00000354   3bd19463   00000356   x28_t3     0000000a
             101   N   00000356   4e290093   0000035a   ---        --------
             103   N   0000035a   0000417d   0000035e   x01_ra     ffffffff
             104   N   0000035e   0020d1b3   00000360   x02_sp     0000001f
             105   N   00000360   00004e85   00000364   x03_gp     00000001
             106   N   00000364   00004e2d   00000366   x29_t4     00000001
